id,created_at,updated_at,headline,summary,author,source,symbols,url,article_text,article_text_chars,article_text_clean,article_text_clean_chars,article_quality,article_usable_for_company_sentiment,article_has_company_reference,article_is_generic_multi_ticker,fetch_status,fetch_error
32676776,2023-06-01T17:35:17Z,2023-06-01T17:35:18Z,10 Information Technology Stocks With Whale Alerts In Today's Session, ,Benzinga Insights,benzinga,"AAPL,ANET,CRWD,INTC,MARA,MU,NVDA,PLTR,SNOW,TEAM",https://www.benzinga.com/markets/options/23/06/32676776/10-information-technology-stocks-with-whale-alerts-in-todays-session,"June 1, 2023 1:35 PM 6 min read 10 Information Technology Stocks With Whale Alerts In Today's Session This whale alert can help traders discover the next big trading opportunities. Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Traders will search for circumstances when the market estimation of an option diverges heavily from its normal worth. High amounts of trading activity could push option prices to exaggerated or underestimated levels. Below are some instances of options activity happening in the Information Technology sector: Explanation These bullet-by-bullet explanations have been constructed using the accompanying table. Options Alert Terminology - Call Contracts: The right to buy shares as indicated in the contract. - Put Contracts: The right to sell shares as indicated in the contract. - Expiration Date: When the contract expires. One must act on the contract by this date if one wants to use it. - Premium/Option Price: The price of the contract. For more information, visit our Guide to Understanding Options Alerts or read more about unusual options activity . This article was generated by Benzinga's automated content engine and reviewed by an editor. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Options BZI-AUOA",1497,"June 1, 2023 1:35 PM 6 min read 10 Information Technology Stocks With Whale Alerts In Today's Session This whale alert can help traders discover the next big trading opportunities. Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Traders will search for circumstances when the market estimation of an option diverges heavily from its normal worth. High amounts of trading activity could push option prices to exaggerated or underestimated levels. Below are some instances of options activity happening in the Information Technology sector: Explanation These bullet-by-bullet explanations have been constructed using the accompanying table. Options Alert Terminology - Call Contracts: The right to buy shares as indicated in the contract. - Put Contracts: The right to sell shares as indicated in the contract. - Expiration Date: When the contract expires. One must act on the contract by this date if one wants to use it. - Premium/Option Price: The price of the contract. For more information, visit our Guide to Understanding Options Alerts or read more about unusual options activity . This article was generated by Benzinga's automated content engine and reviewed by an editor.",1259,generic_multi_ticker,0,1,1,ok,
32695929,2023-06-02T17:35:17Z,2023-06-02T17:35:18Z,10 Information Technology Stocks With Whale Alerts In Today's Session, ,Benzinga Insights,benzinga,"AAPL,AI,AMD,BOX,MSFT,MU,NTNX,NVDA,TSM,ZS",https://www.benzinga.com/markets/options/23/06/32695929/10-information-technology-stocks-with-whale-alerts-in-todays-session,"June 2, 2023 1:35 PM 6 min read 10 Information Technology Stocks With Whale Alerts In Today's Session This whale alert can help traders discover the next big trading opportunities. Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Traders often look for circumstances when the market estimation of an option diverges away from its normal worth. Abnormal amounts of trading activity could push option prices to hyperbolic or underperforming levels. Below are some instances of options activity happening in the Information Technology sector: Explanation These bullet-by-bullet explanations have been constructed using the accompanying table. Options Alert Terminology - Call Contracts: The right to buy shares as indicated in the contract. - Put Contracts: The right to sell shares as indicated in the contract. - Expiration Date: When the contract expires. One must act on the contract by this date if one wants to use it. - Premium/Option Price: The price of the contract. For more information, visit our Guide to Understanding Options Alerts or read more news on unusual options activity . This article was generated by Benzinga's automated content engine and reviewed by an editor. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Options BZI-AUOA",1499,"June 2, 2023 1:35 PM 6 min read 10 Information Technology Stocks With Whale Alerts In Today's Session This whale alert can help traders discover the next big trading opportunities. Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Traders often look for circumstances when the market estimation of an option diverges away from its normal worth. Abnormal amounts of trading activity could push option prices to hyperbolic or underperforming levels. Below are some instances of options activity happening in the Information Technology sector: Explanation These bullet-by-bullet explanations have been constructed using the accompanying table. Options Alert Terminology - Call Contracts: The right to buy shares as indicated in the contract. - Put Contracts: The right to sell shares as indicated in the contract. - Expiration Date: When the contract expires. One must act on the contract by this date if one wants to use it. - Premium/Option Price: The price of the contract. For more information, visit our Guide to Understanding Options Alerts or read more news on unusual options activity . This article was generated by Benzinga's automated content engine and reviewed by an editor.",1261,generic_multi_ticker,0,1,1,ok,
32713144,2023-06-05T12:03:43Z,2023-06-05T12:03:43Z,"Wells Fargo Maintains Overweight on Micron Technology, Raises Price Target to $82",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32713144/wells-fargo-maintains-overweight-on-micron-technology-raises-price-target-to-82,"PRO June 5, 2023 8:03 AM 18 seconds read Wells Fargo Maintains Overweight on Micron Te... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Price Target Analyst Ratings Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",855,"PRO June 5, 2023 8:03 AM 18 seconds read Wells Fargo Maintains Overweight on Micron Te...",89,headline_only,0,1,0,ok,
32718289,2023-06-05T15:17:30Z,2023-06-05T15:17:31Z,Micron Technology Unusual Options Activity For June 05, ,Benzinga Insights,benzinga,MU,https://www.benzinga.com/markets/options/23/06/32718289/micron-technology-unusual-options-activity-for-june-05,"June 5, 2023 11:17 AM 2 min read Micron Technology Unusual Options Activity For June 05 A whale with a lot of money to spend has taken a noticeably bearish stance on Micron Technology . Looking at options history for Micron Technology (NASDAQ: MU ) we detected 10 strange trades. If we consider the specifics of each trade, it is accurate to state that 40% of the investors opened trades with bullish expectations and 60% with bearish. From the overall spotted trades, 3 are puts, for a total amount of $477,334 and 7, calls, for a total amount of $432,216. What's The Price Target? Taking into account the Volume and Open Interest on these contracts, it appears that whales have been targeting a price range from $15.0 to $70.0 for Micron Technology over the last 3 months. Volume & Open Interest Development Looking at the volume and open interest is a powerful move while trading options. This data can help you track the liquidity and interest for Micron Technology's options for a given strike price. Below, we can observe the evolution of the volume and open interest of calls and puts, respectively, for all of Micron Technology's whale trades within a strike price range from $15.0 to $70.0 in the last 30 days. Micron Technology Option Volume And Open Interest Over Last 30 Days Biggest Options Spotted: Where Is Micron Technology Standing Right Now? With a volume of 3,495,402, the price of MU is down -1.85% at $67.89. RSI indicators hint that the underlying stock may be approaching overbought. Next earnings are expected to be released in 23 days. What The Experts Say On Micron Technology: BMO Capital has decided to maintain their Outperform rating on Micron Technology, which currently sits at a price target of $80. Wells Fargo has decided to maintain their Overweight rating on Micron Technology, which currently sits at a price target of $82. Options are a riskier asset compared to just trading the stock, but they have higher profit potential. Serious options traders manage this risk by educating themselves daily, scaling in and out of trades, following more than one indicator, and following the markets closely. If you want to stay updated on the latest options trades for Micron Technology, Benzinga Pro gives you real-time options trades alerts. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Options Markets BZI-UOA",2517,"June 5, 2023 11:17 AM 2 min read Micron Technology Unusual Options Activity For June 05 A whale with a lot of money to spend has taken a noticeably bearish stance on Micron Technology . Looking at options history for Micron Technology (NASDAQ: MU ) we detected 10 strange trades. If we consider the specifics of each trade, it is accurate to state that 40% of the investors opened trades with bullish expectations and 60% with bearish. From the overall spotted trades, 3 are puts, for a total amount of $477,334 and 7, calls, for a total amount of $432,216. What's The Price Target? Taking into account the Volume and Open Interest on these contracts, it appears that whales have been targeting a price range from $15.0 to $70.0 for Micron Technology over the last 3 months. Volume & Open Interest Development Looking at the volume and open interest is a powerful move while trading options. This data can help you track the liquidity and interest for Micron Technology's options for a given strike price. Below, we can observe the evolution of the volume and open interest of calls and puts, respectively, for all of Micron Technology's whale trades within a strike price range from $15.0 to $70.0 in the last 30 days. Micron Technology Option Volume And Open Interest Over Last 30 Days Biggest Options Spotted: Where Is Micron Technology Standing Right Now? With a volume of 3,495,402, the price of MU is down -1.85% at $67.89. RSI indicators hint that the underlying stock may be approaching overbought. Next earnings are expected to be released in 23 days. What The Experts Say On Micron Technology: BMO Capital has decided to maintain their Outperform rating on Micron Technology, which currently sits at a price target of $80. Wells Fargo has decided to maintain their Overweight rating on Micron Technology, which currently sits at a price target of $82. Options are a riskier asset compared to just trading the stock, but they have higher profit potential. Serious options traders manage this risk by educating themselves daily, scaling in and out of trades, following more than one indicator, and following the markets closely. If you want to stay updated on the latest options trades for Micron Technology, Benzinga Pro gives you real-time options trades alerts.",2272,full_text_relevant,1,1,0,ok,
32719336,2023-06-05T16:04:24Z,2023-06-05T16:04:25Z,"Citigroup Reiterates Buy on Micron Technology, Maintains $75 Price Target",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32719336/citigroup-reiterates-buy-on-micron-technology-maintains-75-price-target,"PRO June 5, 2023 12:04 PM 18 seconds read Citigroup Reiterates Buy on Micron Technology... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Price Target Reiteration Analyst Ratings Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",868,"PRO June 5, 2023 12:04 PM 18 seconds read Citigroup Reiterates Buy on Micron Technology...",90,headline_only,0,1,0,ok,
32719573,2023-06-05T16:58:59Z,2023-06-05T16:59:00Z,Micron Moves to Top Spot in Citi's Semiconductor Rankings as China's Soft Demand Dampens Semiconductor Market,"
	Citi analyst Christopher Danely spent this week meeting with companies in Taiwan. 
",Anusuya Lahiri,benzinga,"AMD,MU,NVDA",https://www.benzinga.com/news/23/06/32719573/micron-moves-to-top-spot-in-citis-semiconductor-rankings-as-chinas-soft-demand-dampens-semiconductor,"June 5, 2023 12:58 PM 1 min read Micron Moves to Top Spot in Citi's Semiconductor Rankings as China's Soft Demand Dampens Semiconductor Market Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: News Analyst Ratings Tech Trading Ideas Briefs Expert Ideas",423,"June 5, 2023 12:58 PM 1 min read Micron Moves to Top Spot in Citi's Semiconductor Rankings as China's Soft Demand Dampens Semiconductor Market",142,boilerplate_only,0,1,0,ok,
32740725,2023-06-06T15:16:57Z,2023-06-06T15:16:58Z,Micron Technology Unusual Options Activity, ,Benzinga Insights,benzinga,MU,https://www.benzinga.com/markets/options/23/06/32740725/micron-technology-unusual-options-activity,"June 6, 2023 11:16 AM 2 min read Micron Technology Unusual Options Activity Benzinga's options scanner just detected over 17 options trades for Micron Technology (NASDAQ: MU ) summing a total amount of $928,536. At the same time, our algo caught 8 for a total amount of 1,254,838. What's The Price Target? Taking into account the Volume and Open Interest on these contracts, it appears that whales have been targeting a price range from $55.0 to $85.0 for Micron Technology over the last 3 months. Volume & Open Interest Development Looking at the volume and open interest is a powerful move while trading options. This data can help you track the liquidity and interest for Micron Technology's options for a given strike price. Below, we can observe the evolution of the volume and open interest of calls and puts, respectively, for all of Micron Technology's whale trades within a strike price range from $55.0 to $85.0 in the last 30 days. Micron Technology Option Volume And Open Interest Over Last 30 Days Biggest Options Spotted: Where Is Micron Technology Standing Right Now? With a volume of 4,002,227, the price of MU is up 0.93% at $68.4. RSI indicators hint that the underlying stock may be approaching overbought. Next earnings are expected to be released in 22 days. What The Experts Say On Micron Technology: Citigroup downgraded its action to Buy with a price target of $75 BMO Capital has decided to maintain their Outperform rating on Micron Technology, which currently sits at a price target of $80. Wells Fargo has decided to maintain their Overweight rating on Micron Technology, which currently sits at a price target of $82. Options are a riskier asset compared to just trading the stock, but they have higher profit potential. Serious options traders manage this risk by educating themselves daily, scaling in and out of trades, following more than one indicator, and following the markets closely. If you want to stay updated on the latest options trades for Micron Technology, Benzinga Pro gives you real-time options trades alerts. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Options Markets BZI-UOA",2302,"June 6, 2023 11:16 AM 2 min read Micron Technology Unusual Options Activity Benzinga's options scanner just detected over 17 options trades for Micron Technology (NASDAQ: MU ) summing a total amount of $928,536. At the same time, our algo caught 8 for a total amount of 1,254,838. What's The Price Target? Taking into account the Volume and Open Interest on these contracts, it appears that whales have been targeting a price range from $55.0 to $85.0 for Micron Technology over the last 3 months. Volume & Open Interest Development Looking at the volume and open interest is a powerful move while trading options. This data can help you track the liquidity and interest for Micron Technology's options for a given strike price. Below, we can observe the evolution of the volume and open interest of calls and puts, respectively, for all of Micron Technology's whale trades within a strike price range from $55.0 to $85.0 in the last 30 days. Micron Technology Option Volume And Open Interest Over Last 30 Days Biggest Options Spotted: Where Is Micron Technology Standing Right Now? With a volume of 4,002,227, the price of MU is up 0.93% at $68.4. RSI indicators hint that the underlying stock may be approaching overbought. Next earnings are expected to be released in 22 days. What The Experts Say On Micron Technology: Citigroup downgraded its action to Buy with a price target of $75 BMO Capital has decided to maintain their Outperform rating on Micron Technology, which currently sits at a price target of $80. Wells Fargo has decided to maintain their Overweight rating on Micron Technology, which currently sits at a price target of $82. Options are a riskier asset compared to just trading the stock, but they have higher profit potential. Serious options traders manage this risk by educating themselves daily, scaling in and out of trades, following more than one indicator, and following the markets closely. If you want to stay updated on the latest options trades for Micron Technology, Benzinga Pro gives you real-time options trades alerts.",2057,full_text_relevant,1,1,0,ok,
32746154,2023-06-06T19:30:25Z,2023-06-06T19:30:26Z,"If You Invested $1000 In This Stock 10 Years Ago, You Would Have $5,200 Today", ,Benzinga Insights,benzinga,MU,https://www.benzinga.com/news/earnings/23/06/32746154/if-you-invested-1000-in-this-stock-10-years-ago-you-would-have-5-200-today,"June 6, 2023 3:30 PM 1 min read If You Invested $1000 In This Stock 10 Years Ago, You Would Have $5,200 Today Micron Technology (NASDAQ: MU ) has outperformed the market over the past 10 years by 7.95% on an annualized basis producing an average annual return of 18.07%. Currently, Micron Technology has a market capitalization of $73.83 billion. Buying $1000 In MU: If an investor had bought $1000 of MU stock 10 years ago, it would be worth $5,209.27 today based on a price of $67.46 for MU at the time of writing. Micron Technology's Performance Over Last 10 Years Finally -- what's the point of all this? The key insight to take from this article is to note how much of a difference compounded returns can make in your cash growth over a period of time. This article was generated by Benzinga's automated content engine and reviewed by an editor. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Earnings News Dividends BZI-POD",1103,"June 6, 2023 3:30 PM 1 min read If You Invested $1000 In This Stock 10 Years Ago, You Would Have $5,200 Today Micron Technology (NASDAQ: MU ) has outperformed the market over the past 10 years by 7.95% on an annualized basis producing an average annual return of 18.07%. Currently, Micron Technology has a market capitalization of $73.83 billion. Buying $1000 In MU: If an investor had bought $1000 of MU stock 10 years ago, it would be worth $5,209.27 today based on a price of $67.46 for MU at the time of writing. Micron Technology's Performance Over Last 10 Years Finally -- what's the point of all this? The key insight to take from this article is to note how much of a difference compounded returns can make in your cash growth over a period of time. This article was generated by Benzinga's automated content engine and reviewed by an editor.",850,full_text_relevant,1,1,0,ok,
32757218,2023-06-07T13:01:28Z,2023-06-07T13:01:29Z,"Micron Enables Computationally Intensive AI, Data Analytics And Memory-Focused Workloads With High-Capacity, High-Performance RDIMM Memory Solutions",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32757218/micron-enables-computationally-intensive-ai-data-analytics-and-memory-focused-workloads-with-high-ca,"PRO June 7, 2023 9:01 AM 18 seconds read Micron Enables Computationally Intensive AI, ... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",826,"PRO June 7, 2023 9:01 AM 18 seconds read Micron Enables Computationally Intensive AI, ...",89,headline_only,0,1,0,ok,
32758098,2023-06-07T13:27:49Z,2023-06-07T16:29:02Z,Micron shares are trading higher after the company announced volume production availability of high-capacity 96GB DDR5 RDIMMs in speeds up to 4800MT/s.,,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/wiim/23/06/32758098/micron-shares-are-trading-higher-after-the-company-announced-volume-production-availability-of-high,"PRO June 7, 2023 9:27 AM 18 seconds read Micron shares are trading higher after the co... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: General Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",829,"PRO June 7, 2023 9:27 AM 18 seconds read Micron shares are trading higher after the co...",89,headline_only,0,1,0,ok,
