id,created_at,updated_at,headline,summary,author,source,symbols,url
32815342,2023-06-12T13:08:52Z,2023-06-12T13:08:52Z,"Micron, STEMM Opportunity Alliance And National Science Foundation Advance New Workforce Development Collaborations",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32815342/micron-stemm-opportunity-alliance-and-national-science-foundation-advance-new-workforce-development
32816265,2023-06-12T13:53:15Z,2023-06-12T13:53:16Z,"Deutsche Bank Maintains Hold on Micron Technology, Raises Price Target to $65",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32816265/deutsche-bank-maintains-hold-on-micron-technology-raises-price-target-to-65
32820524,2023-06-12T17:01:05Z,2023-06-12T17:01:05Z,15 Analysts Have This to Say About Micron Technology, ,Benzinga Insights,benzinga,MU,https://www.benzinga.com/analyst-ratings/23/06/32820524/15-analysts-have-this-to-say-about-micron-technology
32821130,2023-06-12T17:35:21Z,2023-06-12T17:35:22Z,10 Information Technology Stocks With Whale Alerts In Today's Session, ,Benzinga Insights,benzinga,"AAPL,AMD,AVGO,FLEX,INTC,MSFT,MU,NVDA,TSM,ZM",https://www.benzinga.com/markets/options/23/06/32821130/10-information-technology-stocks-with-whale-alerts-in-todays-session
32888947,2023-06-16T11:50:55Z,2023-06-16T11:53:28Z,Micron Plans To Inject $600M In Chinese Chip-Packaging Plant Amid Beijing Restrictions,U.S.,Vandana Singh,benzinga,MU,https://www.benzinga.com/markets/asia/23/06/32888947/Micron-Plans-To-Inject-$600M-In-Chinese-Chip-Packaging-Plant-Amid-Beijing-Restrictions
32888986,2023-06-16T12:37:50Z,2023-06-16T12:37:51Z,US Chipmaker Micron Reportedly Closes In On Billion-Dollar Investment In India Plant,This story was originally published on the Benzinga India Portal.,Arpit Nayak,benzinga,MU,https://www.benzinga.com/news/23/06/32888986/us-chipmaker-micron-reportedly-closes-in-on-billion-dollar-investment-in-india-plant
32890318,2023-06-16T12:59:15Z,2023-06-16T12:59:15Z,"Micron Expands Geographic Reach, Eyeing Billion-Dollar Indian Semiconductor Venture",Micron Technology Inc. (NASDAQ: MU) intends to invest at least $1 billion in setting up a semiconductor packaging factory in India.,Akanksha Bakshi,benzinga,MU,https://www.benzinga.com/news/23/06/32890318/micron-expands-geographic-reach-eyeing-billion-dollar-indian-semiconductor-venture
32892461,2023-06-16T13:33:19Z,2023-06-16T13:33:19Z,"UK Gives Nod To Roomba Maker IRobot-Amazon Deal, Micron Plans To Invest In China Despite Restrictions, Baidu Secures Regulatory Nod for Self-Driving Taxi: Today's Top Stories",Benzinga,Vandana Singh,benzinga,"AMZN,BABA,BIDU,F,GM,GSK,INTC,IRBT,MDLZ,META,MU,ORCL,SPY,T,TM",https://www.benzinga.com/news/23/06/32892461/uk-gives-nod-to-roomba-maker-irobot-amazon-deal-micron-plans-to-invest-in-china-despite-restrictions
32892891,2023-06-16T13:33:18Z,2023-06-16T13:33:19Z,"Micron Technology Believe That Approximately Half Of That China HQ Customer Revenue, Which Equates To A Low-Double-Digit Percentage Of Micron's Worldwide Revenue, Is Now At Risk Of Being Impacted",,Happy Mohamed,benzinga,"FXI,MU",https://www.benzinga.com/news/23/06/32892891/micron-technology-believe-that-approximately-half-of-that-china-hq-customer-revenue-which-equates-to
32892908,2023-06-16T13:34:39Z,2023-06-16T13:34:39Z,"Micron Technology Says Impact Of May 21, Conclusion By Cybersecurity Administration Of China On Business Of Co Continues To Remain Uncertain And Fluid;  Long-term Goal Is To Retain Its Worldwide Dram And Nand Share",,Benzinga Newsdesk,benzinga,"FXI,MU",https://www.benzinga.com/news/23/06/32892908/micron-technology-says-impact-of-may-21-conclusion-by-cybersecurity-administration-of-china-on-busin
