id,created_at,updated_at,headline,summary,author,source,symbols,url,article_text,article_text_chars,fetch_status,fetch_error
32815342,2023-06-12T13:08:52Z,2023-06-12T13:08:52Z,"Micron, STEMM Opportunity Alliance And National Science Foundation Advance New Workforce Development Collaborations",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32815342/micron-stemm-opportunity-alliance-and-national-science-foundation-advance-new-workforce-development,"PRO June 12, 2023 9:08 AM 18 seconds read Micron, STEMM Opportunity Alliance And Nation... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",827,ok,
32816265,2023-06-12T13:53:15Z,2023-06-12T13:53:16Z,"Deutsche Bank Maintains Hold on Micron Technology, Raises Price Target to $65",,Benzinga Newsdesk,benzinga,MU,https://www.benzinga.com/news/23/06/32816265/deutsche-bank-maintains-hold-on-micron-technology-raises-price-target-to-65,"PRO June 12, 2023 9:53 AM 18 seconds read Deutsche Bank Maintains Hold on Micron Techno... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Price Target Analyst Ratings Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",856,ok,
32820524,2023-06-12T17:01:05Z,2023-06-12T17:01:05Z,15 Analysts Have This to Say About Micron Technology, ,Benzinga Insights,benzinga,MU,https://www.benzinga.com/analyst-ratings/23/06/32820524/15-analysts-have-this-to-say-about-micron-technology,"June 12, 2023 1:01 PM 2 min read 15 Analysts Have This to Say About Micron Technology Over the past 3 months, 15 analysts have published their opinion on Micron Technology (NASDAQ: MU ) stock. These analysts are typically employed by large Wall Street banks and tasked with understanding a company's business to predict how a stock will trade over the upcoming year. According to 15 analyst offering 12-month price targets in the last 3 months, Micron Technology has an average price target of $76.2 with a high of $100.00 and a low of $60.00. Below is a summary of how these 15 analysts rated Micron Technology over the past 3 months. The greater the number of bullish ratings, the more positive analysts are on the stock and the greater the number of bearish ratings, the more negative analysts are on the stock This average price target has increased by 20.8% over the past month. Stay up to date on Micron Technology analyst ratings. Analyst Ratings: What Are They? Ratings come from analysts, or specialists within banking and financial systems that report for specific stocks or defined sectors (typically once per quarter for each stock). Analysts usually derive their information from company conference calls and meetings, financial statements, and conversations with important insiders to reach their decisions. Some analysts also offer predictions for helpful metrics such as earnings, revenue, and growth estimates to provide further guidance as to what to do with certain tickers. It is important to keep in mind that while stock and sector analysts are specialists, they are also human and can only forecast their beliefs to traders. This article was generated by Benzinga's automated content engine and reviewed by an editor. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Analyst Ratings BZI-AAR",1985,ok,
32821130,2023-06-12T17:35:21Z,2023-06-12T17:35:22Z,10 Information Technology Stocks With Whale Alerts In Today's Session, ,Benzinga Insights,benzinga,"AAPL,AMD,AVGO,FLEX,INTC,MSFT,MU,NVDA,TSM,ZM",https://www.benzinga.com/markets/options/23/06/32821130/10-information-technology-stocks-with-whale-alerts-in-todays-session,"June 12, 2023 1:35 PM 6 min read 10 Information Technology Stocks With Whale Alerts In Today's Session This whale alert can help traders discover the next big trading opportunities. Whales are entities with large sums of money and we track their transactions here at Benzinga on our options activity scanner. Traders will search for circumstances when the market estimation of an option diverges heavily from its normal worth. High amounts of trading activity could push option prices to exaggerated or underestimated levels. Below are some instances of options activity happening in the Information Technology sector: Explanation These itemized elaborations have been created using the accompanying table. Options Alert Terminology - Call Contracts: The right to buy shares as indicated in the contract. - Put Contracts: The right to sell shares as indicated in the contract. - Expiration Date: When the contract expires. One must act on the contract by this date if one wants to use it. - Premium/Option Price: The price of the contract. For more information, visit our Guide to Understanding Options Alerts or read more about unusual options activity . This article was generated by Benzinga's automated content engine and reviewed by an editor. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Options BZI-AUOA",1486,ok,
32888947,2023-06-16T11:50:55Z,2023-06-16T11:53:28Z,Micron Plans To Inject $600M In Chinese Chip-Packaging Plant Amid Beijing Restrictions,U.S.,Vandana Singh,benzinga,MU,https://www.benzinga.com/markets/asia/23/06/32888947/Micron-Plans-To-Inject-$600M-In-Chinese-Chip-Packaging-Plant-Amid-Beijing-Restrictions,"June 16, 2023 7:50 AM 1 min read Micron Plans To Inject $600M In Chinese Chip-Packaging Plant Amid Beijing Restrictions The investment will involve acquiring equipment and expanding assembly lines at the existing facility in Xi'an, a city in central China. Micron's plan to expand its Xian plant comes after the China Administration of Cybersecurity (CAC) barred critical information infrastructure providers from buying Micron's products, citing national security risks. The company's management has said that Beijing's ban could hit Micron's revenue in the single digits, as China contributes about 11% of Micron's global sales . The ban on Micron's chips has intensified the uncertainties faced by U.S. chipmakers, including Qualcomm Inc., Broadcom Inc., and Intel Corp, who rely on the Chinese market. Price Action: MU shares are up 2.54% at $70.57 during the premarket session on the last check Friday. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: Asia Large Cap News Markets Tech General Briefs",1176,ok,
32888986,2023-06-16T12:37:50Z,2023-06-16T12:37:51Z,US Chipmaker Micron Reportedly Closes In On Billion-Dollar Investment In India Plant,This story was originally published on the Benzinga India Portal.,Arpit Nayak,benzinga,MU,https://www.benzinga.com/news/23/06/32888986/us-chipmaker-micron-reportedly-closes-in-on-billion-dollar-investment-in-india-plant,"June 16, 2023 8:37 AM 3 min read US Chipmaker Micron Reportedly Closes In On Billion-Dollar Investment In India Plant This story was originally published on the Benzinga India Portal. U.S. memory chipmaker Micron Technology (NASDAQ: MU ) is reportedly close to committing $1 billion to $2 billion to build a semiconductor-packaging factory in India What Happened? The firm is close to an agreement for the major investment, which could officially be announced during Prime Minister Narendra Modi ‘s upcoming visit to the U.S., sources told Bloomberg. The firm’s latest move is seen as part of its strategy to diversify its geographic presence amid ongoing tensions between the US and China. The potential agreement would align with Modi’s ambitious “Make in India” initiative, aimed at promoting domestic manufacturing and attracting foreign investment. At the same time, it would give the US an opportunity to strengthen critical supply chains outside of China — a key objective emphasized by US National Security Adviser Jake Sullivan during his recent visit to New Delhi. The investment plans come in the wake of China’s ban on the use of Micron chips in critical infrastructure, creating uncertainty for U.S. chipmakers in the world’s largest semiconductor market. In response, Micron recently pledged an additional $600 million investment in its Chinese plant, saying it was committed to the world’s second-largest economy. The move also reflects the broader U.S. strategy of diversifying advanced chip manufacturing, particularly in light of growing tensions with China and concerns cast a pall over an overreliance on Asian manufacturing centers, such as Taiwan. Micron, the largest US memory chipmaker, has already secured financial support for a $3.6 billion next-generation plant in Japan. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: News Top Stories Tech Media Chipmaker India",2064,ok,
32890318,2023-06-16T12:59:15Z,2023-06-16T12:59:15Z,"Micron Expands Geographic Reach, Eyeing Billion-Dollar Indian Semiconductor Venture",Micron Technology Inc. (NASDAQ: MU) intends to invest at least $1 billion in setting up a semiconductor packaging factory in India.,Akanksha Bakshi,benzinga,MU,https://www.benzinga.com/news/23/06/32890318/micron-expands-geographic-reach-eyeing-billion-dollar-indian-semiconductor-venture,"June 16, 2023 8:59 AM 1 min read Micron Expands Geographic Reach, Eyeing Billion-Dollar Indian Semiconductor Venture Micron Technology Inc. (NASDAQ: MU ) intends to invest at least $1 billion in setting up a semiconductor packaging factory in India. Today, Micron committed to investing an additional $600 million in its Chinese plant to help the local economy and generate jobs. An announcement is expected when Prime Minister Narendra Modi visits the U.S. next week. According to the source, there is a likelihood that the financial commitment will exceed $2 billion. Also Read: Micron Inks 178-Megawatt Wind Power Agreement With Terra-Gen The Indian investment would follow a Chinese ban on the use of Micron chips in what Beijing called critical infrastructure, mentioned the report. Last month, The Japanese government committed $1.51 billion (200 billion yen) in financial incentives to help Micron make next-generation memory chips in the country. Price Action: MU shares are trading higher by 2.82% at $70.75 premarket on Friday. Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: News Briefs",1270,ok,
32892461,2023-06-16T13:33:19Z,2023-06-16T13:33:19Z,"UK Gives Nod To Roomba Maker IRobot-Amazon Deal, Micron Plans To Invest In China Despite Restrictions, Baidu Secures Regulatory Nod for Self-Driving Taxi: Today's Top Stories",Benzinga,Vandana Singh,benzinga,"AMZN,BABA,BIDU,F,GM,GSK,INTC,IRBT,MDLZ,META,MU,ORCL,SPY,T,TM",https://www.benzinga.com/news/23/06/32892461/uk-gives-nod-to-roomba-maker-irobot-amazon-deal-micron-plans-to-invest-in-china-despite-restrictions,"June 16, 2023 9:33 AM 6 min read UK Gives Nod To Roomba Maker IRobot-Amazon Deal, Micron Plans To Invest In China Despite Restrictions, Baidu Secures Regulatory Nod for Self-Driving Taxi: Today's Top Stories Benzinga Intel Plans $4.6B Investment On Poland Soil, Builds First-Of-Its-Kind Facility Roomba Maker IRobot Stock Shoots Higher Friday - What's Going On With Amazon Deal? AT&T Bids Farewell to San Francisco Flagship Store Amid Changing Consumer Habits Mondelez Restructures Russian Operations Following Declines from Ukraine War Impacts Pfizer, Moderna, and Novavax Gear Up for XBB.1.5 Strain Targeted Vaccines as FDA AdCom Unanimously Support FDA Pushes Review Time For GSK's Blood Cancer Therapy Added Via Sierra Oncology Acquisition The FDA has extended the review period for GSK plc's (NYSE: GSK ) new drug application for momelotinib for myelofibrosis by three months to provide time to review recently submitted data. The extended action date is 16 September 2023 compared to the earlier date of 16 June. Bloomberg Micron Plans To Inject $600M In Chinese Chip-Packaging Plant Amid Beijing Restrictions Reuters Oracle's Health Unit Faces Major Downsizing Post-Cerner Acquisition Amid Industry Trends Baidu Secures Regulatory Nod for Autonomous Ride-Hailing in Shenzhen, Threatens Competition in Chinese EV Market Ford, General Motors Optimistic On Demand Toyota Gets $841M Support From Japan To Boost Domestic EV Battery Capacity CNBC Jack Ma 'Alive and Happy,' Alibaba Plans Major European Push with Tmall, Says President Michael Evans The Information Meta Opens New AI Software for Commercial Use, a Bold Move Set to Rival Google and Microsoft Photo via Wikimedia Commons Market News and Data brought to you by Benzinga APIs © 2026 Benzinga.com. Benzinga does not provide investment advice. All rights reserved. To add Benzinga News as your preferred source on Google, click here . Posted In: News Small Cap Top Stories Markets General",1950,ok,
32892891,2023-06-16T13:33:18Z,2023-06-16T13:33:19Z,"Micron Technology Believe That Approximately Half Of That China HQ Customer Revenue, Which Equates To A Low-Double-Digit Percentage Of Micron's Worldwide Revenue, Is Now At Risk Of Being Impacted",,Happy Mohamed,benzinga,"FXI,MU",https://www.benzinga.com/news/23/06/32892891/micron-technology-believe-that-approximately-half-of-that-china-hq-customer-revenue-which-equates-to,"PRO June 16, 2023 9:33 AM 18 seconds read Micron Technology Believe That Approximately ... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",827,ok,
32892908,2023-06-16T13:34:39Z,2023-06-16T13:34:39Z,"Micron Technology Says Impact Of May 21, Conclusion By Cybersecurity Administration Of China On Business Of Co Continues To Remain Uncertain And Fluid;  Long-term Goal Is To Retain Its Worldwide Dram And Nand Share",,Benzinga Newsdesk,benzinga,"FXI,MU",https://www.benzinga.com/news/23/06/32892908/micron-technology-says-impact-of-may-21-conclusion-by-cybersecurity-administration-of-china-on-busin,"PRO June 16, 2023 9:34 AM 18 seconds read Micron Technology Says Impact Of May 21, Conc... Never miss a trade again with the fastest news alerts in the world! This headline only article is a sample of real-time intelligence Benzinga Pro traders use to win in the markets everyday. Want the fastest, most accurate stock market intelligence? Want EXCLUSIVE stories originated by Benzinga reporters? Join 10,000+ serious traders in the Benzinga Pro community! The most trusted brand in stock market news Fatest intelligence & alerts Active trader chat rooms Option trade alerts Only comprehensive mobile notifications solution Welcoming & white glove support Active My Free Trial Posted In: News Create a Watchlist FREE: Follow your stocks and cryptocurrencies with the most actionable alerts on the internet. Click to Get Started",827,ok,
