rank,ticker,company_name,number_of_earnings_events,positive_7d_window_rate,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,average_eps_surprise_pct,best_7d_window_return_pct,worst_7d_window_return_pct,ranking_score,eps_beat_rate,average_return_on_eps_beat_pct,eps_beat_reaction_score
1,AAOI,"Applied Optoelectronics, Inc.",12,0.58,27.24,16.18,23.84,-21.89,133.28,-40.38,54.22,0.3333333333333333,68.90278524425122,85.56945191091788
2,TOYO,"TOYO Co., Ltd",1,1.0,13.67,13.67,3.38,4.17,13.67,13.67,64.09,1.0,13.670134824466182,63.67013482446618
3,SITM,SiTime Corporation,12,0.75,15.89,11.31,10.91,55.91,58.44,-13.67,58.98,0.9166666666666666,16.798128656410356,62.631461989743684
4,ALAB,"Astera Labs, Inc.",9,0.56,11.75,3.46,5.57,54.35,62.15,-21.97,44.96,1.0,11.750869502768193,61.7508695027682
5,COHR,Coherent Corp.,12,0.75,8.9,9.59,6.48,17.06,32.39,-20.31,48.1,1.0,8.897891365371233,58.89789136537124
6,TSEM,Tower Semiconductor Ltd.,12,0.67,8.17,10.21,-0.95,11.43,21.95,-3.4,42.65,1.0,8.173511123507135,58.17351112350713
7,FLEX,Flex Ltd.,12,0.67,8.04,2.04,8.11,12.33,60.27,-6.36,42.61,1.0,8.044289981574632,58.044289981574636
8,AVGO,Broadcom Inc.,12,0.75,8.01,5.34,5.4,2.87,28.07,-13.42,45.8,1.0,8.01457877907331,58.01457877907331
9,SYNA,Synaptics Incorporated,12,0.75,6.91,5.38,5.97,80.04,38.67,-15.53,52.41,1.0,6.909451854919223,56.909451854919226
10,MPWR,"Monolithic Power Systems, Inc.",12,0.67,5.79,8.36,3.9,2.25,23.64,-11.13,39.35,1.0,5.792656955278061,55.79265695527806
11,CRUS,"Cirrus Logic, Inc.",12,0.83,5.27,5.57,5.86,38.59,24.95,-14.9,50.8,1.0,5.273005582213025,55.273005582213024
12,SMTC,Semtech Corporation,13,0.69,12.17,13.17,6.57,59.49,43.43,-25.18,52.73,0.8461538461538461,12.721460083166361,55.02915239085867
13,GFS,GlobalFoundries Inc.,12,0.67,4.29,8.4,1.93,15.59,21.28,-18.59,39.18,1.0,4.290540644917654,54.290540644917655
14,ARM,Arm Holdings plc,11,0.64,6.35,4.67,3.31,13.76,78.86,-32.08,39.55,0.9090909090909091,8.442694812271522,53.89724026681698
