ticker,company_name,earnings_date,eps_estimate,reported_eps,eps_surprise,eps_surprise_pct,price_7d_before_date,price_7d_before_adj_close,earnings_nearest_trading_date,earnings_nearest_adj_close,price_7d_after_date,price_7d_after_adj_close,change_7d_before_to_earnings_pct,change_earnings_to_7d_after_pct,change_7d_before_to_7d_after_pct,data_quality_notes
AAOI,"Applied Optoelectronics, Inc.",2026-05-07,-0.05,-0.07,-0.02,-40.0,2026-04-30,164.36,2026-05-07,157.55,2026-05-14,203.57,-4.14,29.21,23.86,
AAOI,"Applied Optoelectronics, Inc.",2026-02-26,-0.11,-0.01,0.1,90.91,2026-02-19,46.98,2026-02-26,53.69,2026-03-05,101.14,14.28,88.38,115.28,
AAOI,"Applied Optoelectronics, Inc.",2025-11-06,-0.09,-0.28,-0.19,-211.11,2025-10-30,35.07,2025-11-06,29.1,2025-11-13,20.91,-17.02,-28.14,-40.38,
AAOI,"Applied Optoelectronics, Inc.",2025-08-07,-0.07,-0.16,-0.09,-128.57,2025-07-31,22.87,2025-08-07,22.33,2025-08-14,21.01,-2.36,-5.91,-8.13,
AAOI,"Applied Optoelectronics, Inc.",2025-05-08,-0.04,-0.02,0.02,50.0,2025-05-01,14.71,2025-05-08,14.76,2025-05-15,18.87,0.34,27.85,28.28,
AAOI,"Applied Optoelectronics, Inc.",2025-02-26,-0.02,-0.02,0.0,0.0,2025-02-19,27.33,2025-02-26,25.19,2025-03-05,18.08,-7.83,-28.23,-33.85,
AAOI,"Applied Optoelectronics, Inc.",2024-11-07,-0.17,-0.21,-0.04,-23.53,2024-10-31,15.62,2024-11-07,17.9,2024-11-14,28.15,14.6,57.26,80.22,
AAOI,"Applied Optoelectronics, Inc.",2024-08-06,-0.29,-0.28,0.01,3.45,2024-07-30,8.12,2024-08-06,7.29,2024-08-13,8.02,-10.22,10.01,-1.23,
AAOI,"Applied Optoelectronics, Inc.",2024-05-09,-0.29,-0.31,-0.02,-6.9,2024-05-02,10.35,2024-05-09,10.54,2024-05-16,11.23,1.84,6.55,8.5,
AAOI,"Applied Optoelectronics, Inc.",2024-02-22,,0.04,,,2024-02-15,22.41,2024-02-22,20.35,2024-02-29,15.98,-9.19,-21.47,-28.69,missing eps estimate
AAOI,"Applied Optoelectronics, Inc.",2023-11-09,-0.05,-0.05,0.0,0.0,2023-11-02,8.57,2023-11-09,9.76,2023-11-16,12.83,13.89,31.45,49.71,
AAOI,"Applied Optoelectronics, Inc.",2023-08-03,-0.28,-0.21,0.07,25.0,2023-07-27,6.19,2023-08-03,6.59,2023-08-10,14.44,6.46,119.12,133.28,
ADI,"Analog Devices, Inc.",2026-05-20,2.91,3.09,0.18,6.19,2026-05-13,432.39,2026-05-20,398.05,2026-05-27,416.88,-7.94,4.73,-3.59,
ADI,"Analog Devices, Inc.",2026-02-18,2.31,2.46,0.15,6.49,2026-02-11,335.9481,2026-02-18,345.2888,2026-02-25,359.6738,2.78,4.17,7.06,
ADI,"Analog Devices, Inc.",2025-11-25,2.23,2.26,0.03,1.35,2025-11-18,228.6043,2025-11-25,250.3491,2025-12-02,271.1602,9.51,8.31,18.62,
ADI,"Analog Devices, Inc.",2025-08-20,1.95,2.05,0.1,5.13,2025-08-13,235.1246,2025-08-20,242.2883,2025-08-27,252.8062,3.05,4.34,7.52,
ADI,"Analog Devices, Inc.",2025-05-22,1.69,1.85,0.16,9.47,2025-05-15,223.7069,2025-05-22,208.7452,2025-05-29,212.5078,-6.69,1.8,-5.01,
ADI,"Analog Devices, Inc.",2025-02-19,1.54,1.63,0.09,5.84,2025-02-12,201.1721,2025-02-19,236.9973,2025-02-26,229.2203,17.81,-3.28,13.94,
ADI,"Analog Devices, Inc.",2024-11-26,1.64,1.67,0.03,1.83,2024-11-19,205.4997,2024-11-26,213.9178,2024-12-03,216.3494,4.1,1.14,5.28,
ADI,"Analog Devices, Inc.",2024-08-21,1.51,1.58,0.07,4.64,2024-08-14,209.4514,2024-08-21,221.2994,2024-08-28,220.9784,5.66,-0.15,5.5,
ADI,"Analog Devices, Inc.",2024-05-22,1.27,1.4,0.13,10.24,2024-05-15,209.0382,2024-05-22,232.6888,2024-05-29,221.0524,11.31,-5.0,5.75,
ADI,"Analog Devices, Inc.",2024-02-21,1.71,1.73,0.02,1.17,2024-02-14,179.6771,2024-02-21,186.8132,2024-02-28,181.0657,3.97,-3.08,0.77,
ADI,"Analog Devices, Inc.",2023-11-21,2.02,2.01,-0.01,-0.5,2023-11-14,170.4456,2023-11-21,173.9681,2023-11-28,175.8398,2.07,1.08,3.16,
ADI,"Analog Devices, Inc.",2023-08-23,2.52,2.49,-0.03,-1.19,2023-08-16,169.2475,2023-08-23,169.5437,2023-08-30,173.4508,0.17,2.3,2.48,
AEHR,Aehr Test Systems,2026-04-07,-0.07,-0.05,0.02,28.57,2026-03-31,37.08,2026-04-07,50.25,2026-04-14,74.38,35.52,48.02,100.59,
AEHR,Aehr Test Systems,2026-01-08,-0.04,-0.04,0.0,0.0,2025-12-31,20.19,2026-01-08,22.7,2026-01-15,26.53,12.43,16.87,31.4,
AEHR,Aehr Test Systems,2025-10-06,,0.01,,,2025-09-29,30.45,2025-10-06,31.65,2025-10-13,25.52,3.94,-19.37,-16.19,missing eps estimate
AEHR,Aehr Test Systems,2025-07-08,-0.01,-0.01,0.0,0.0,2025-07-01,14.11,2025-07-08,15.17,2025-07-15,14.05,7.51,-7.38,-0.43,
AEHR,Aehr Test Systems,2025-04-08,0.04,0.07,0.03,75.0,2025-04-01,7.85,2025-04-08,6.78,2025-04-15,8.54,-13.63,25.96,8.79,
AEHR,Aehr Test Systems,2025-01-13,0.03,0.02,-0.01,-33.33,2025-01-06,16.85,2025-01-13,15.99,2025-01-21,13.22,-5.1,-17.32,-21.54,
AEHR,Aehr Test Systems,2024-10-10,0.02,0.07,0.05,250.0,2024-10-03,12.19,2024-10-10,13.32,2024-10-17,14.79,9.27,11.04,21.33,
AEHR,Aehr Test Systems,2024-07-16,0.11,0.84,0.73,663.64,2024-07-09,12.41,2024-07-16,16.84,2024-07-23,18.06,35.7,7.24,45.53,
