ticker,company_name,number_of_earnings_events,average_change_7d_before_to_7d_after_pct,median_change_7d_before_to_7d_after_pct,average_change_earnings_to_7d_after_pct,median_change_earnings_to_7d_after_pct,positive_7d_window_count,negative_7d_window_count,positive_7d_window_rate,best_7d_window_return_pct,worst_7d_window_return_pct,average_eps_surprise_pct,median_eps_surprise_pct,average_reported_eps,average_eps_estimate,eps_beat_rate,average_return_on_eps_beat_pct,median_return_on_eps_beat_pct
AAOI,"Applied Optoelectronics, Inc.",12,27.24,16.18,23.84,18.93,7,5,0.58,133.28,-40.38,-21.89,0.0,-0.1317,-0.1327,0.3333333333333333,68.90278524425122,71.78159346966531
ADI,"Analog Devices, Inc.",12,5.12,5.39,1.36,1.47,10,2,0.83,18.62,-5.01,4.22,4.88,2.0183,1.9417,0.8333333333333334,5.585049029866729,5.62540814963862
AEHR,Aehr Test Systems,12,12.37,4.18,3.92,2.82,6,6,0.5,100.59,-30.7,92.91,12.5,0.1267,0.0564,0.5833333333333334,22.52428971896951,21.328962026001747
AEIS,"Advanced Energy Industries, Inc",12,4.67,7.48,4.41,7.58,7,5,0.58,20.02,-12.99,9.94,10.63,1.32,1.1958,0.9166666666666666,4.237896773581992,5.5517568599925236
AEVA,"Aeva Technologies, Inc.",12,12.76,15.58,4.35,-3.0,7,5,0.58,111.68,-47.33,7.22,5.33,-0.5317,-0.5983,0.75,15.171154267206974,17.17171762081153
AIP,"Arteris, Inc.",11,2.04,0.86,-0.32,-4.5,6,5,0.55,24.56,-18.22,13.71,10.0,-0.1191,-0.1391,0.7272727272727273,0.5447423124476879,-2.369132554215197
AIRG,"Airgain, Inc.",12,-2.74,-2.73,-2.33,-3.87,3,9,0.25,38.58,-25.07,-20.54,-14.29,-0.106,-0.0945,0.3333333333333333,0.7076726363738182,-0.619478691191214
ALAB,"Astera Labs, Inc.",9,11.75,3.46,5.57,-4.9,5,4,0.56,62.15,-21.97,54.35,25.64,0.3833,0.2944,1.0,11.750869502768193,3.461173693057119
ALGM,"Allegro MicroSystems, Inc.",12,1.2,-2.68,1.45,-0.26,6,6,0.5,43.49,-16.54,16.78,10.34,0.165,0.1682,0.9166666666666666,1.8805479420096516,0.2806723870299378
AMAT,"Applied Materials, Inc.",12,2.34,3.7,-1.64,-3.06,7,5,0.58,21.81,-12.48,6.86,5.51,2.2917,2.1467,1.0,2.3358158406582623,3.695544966259558
AMBA,"Ambarella, Inc.",12,-1.6,-2.74,-7.16,-10.03,6,6,0.5,22.98,-32.3,107.37,29.29,-0.0092,-0.0733,1.0,-1.6006667097398346,-2.7399650882356408
AMD,"Advanced Micro Devices, Inc.",12,1.49,-0.86,0.21,-3.1,5,7,0.42,38.7,-15.47,101.95,2.35,0.8767,0.7908,0.75,3.2120078327820516,0.20354279374654316
AMKR,"Amkor Technology, Inc.",12,-0.16,2.01,-2.11,-2.05,7,5,0.58,17.22,-31.8,24.21,17.23,0.3792,0.3142,0.8333333333333334,0.032459659516975846,2.0056285638623854
AMPG,"Amplitech Group, Inc.",12,3.39,-9.8,0.54,-7.38,4,8,0.33,92.61,-25.48,-97.25,-26.67,-0.1117,-0.0833,0.3333333333333333,0.2450755229489432,-8.47977537483598
