ticker,company_name,general_sentiment_score,ai_demand_sentiment,data_center_sentiment,hbm_sentiment,foundry_capacity_sentiment,semiconductor_capex_sentiment,china_export_risk_sentiment,inventory_sentiment,gross_margin_sentiment,pricing_pressure_sentiment,automotive_demand_sentiment,consumer_demand_sentiment,industrial_demand_sentiment,optical_networking_sentiment,memory_pricing_sentiment,analyst_sentiment,management_tone_sentiment,risk_sentiment,news_headlines,news_urls
AAOI,"Applied Optoelectronics, Inc.",0.6,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.2,Jim Cramer Recommends Corning Over Applied Optoelectronics | Jim Cramer Recommends Corning Over Applied Optoelectronics | How AAOI Is Defying The Market Slump | How AAOI Is Defying The Market Slump | Applied Optoelectronics (AAOI) Soars Anew on AI Optimism | Applied Optoelectronics (AAOI) Soars Anew on AI Optimism | Assessing Applied Optoelectronics (AAOI) Valuation After A Sharp Multi‑Year Share Price Surge | Assessing Applied Optoelectronics (AAOI) Valuation After A Sharp Multi‑Year Share Price Surge | Is Applied Optoelectronics (AAOI) One of the Best Performing Growth Stocks to Buy? | Is Applied Optoelectronics (AAOI) One of the Best Performing Growth Stocks to Buy?,https://finance.yahoo.com/markets/stocks/articles/jim-cramer-recommends-corning-over-082853005.html | https://finance.yahoo.com/markets/stocks/articles/jim-cramer-recommends-corning-over-082853005.html | https://finance.yahoo.com/markets/stocks/articles/aaoi-defying-market-slump-205510328.html | https://finance.yahoo.com/markets/stocks/articles/aaoi-defying-market-slump-205510328.html | https://finance.yahoo.com/markets/stocks/articles/applied-optoelectronics-aaoi-soars-anew-022150957.html | https://finance.yahoo.com/markets/stocks/articles/applied-optoelectronics-aaoi-soars-anew-022150957.html | https://finance.yahoo.com/markets/stocks/articles/assessing-applied-optoelectronics-aaoi-valuation-011539110.html | https://finance.yahoo.com/markets/stocks/articles/assessing-applied-optoelectronics-aaoi-valuation-011539110.html | https://finance.yahoo.com/markets/stocks/articles/applied-optoelectronics-aaoi-one-best-011504216.html | https://finance.yahoo.com/markets/stocks/articles/applied-optoelectronics-aaoi-one-best-011504216.html
ADI,"Analog Devices, Inc.",0.7,0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.6,0.2,"Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year? | Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year? | Will Record Q2, Empower Deal and AI Infrastructure Demand Shift Analog Devices' (ADI) Narrative? | Will Record Q2, Empower Deal and AI Infrastructure Demand Shift Analog Devices' (ADI) Narrative? | MACOM, Analog Devices, and Seagate Shares Skyrocket, What You Need To Know | MACOM, Analog Devices, and Seagate Shares Skyrocket, What You Need To Know | Stocks Supported by a Rebound in Chipmakers and AI Stocks | Stocks Supported by a Rebound in Chipmakers and AI Stocks | Wall Street Analysts See Analog Devices (ADI) as a Buy: Should You Invest? | Wall Street Analysts See Analog Devices (ADI) as a Buy: Should You Invest?",https://finance.yahoo.com/markets/stocks/articles/analog-devices-adi-outpaced-other-134005314.html | https://finance.yahoo.com/markets/stocks/articles/analog-devices-adi-outpaced-other-134005314.html | https://finance.yahoo.com/markets/stocks/articles/record-q2-empower-deal-ai-121317499.html | https://finance.yahoo.com/markets/stocks/articles/record-q2-empower-deal-ai-121317499.html | https://finance.yahoo.com/markets/stocks/articles/macom-analog-devices-seagate-shares-000937210.html | https://finance.yahoo.com/markets/stocks/articles/macom-analog-devices-seagate-shares-000937210.html | https://finance.yahoo.com/markets/stocks/articles/stocks-supported-rebound-chipmakers-ai-151624217.html | https://finance.yahoo.com/markets/stocks/articles/stocks-supported-rebound-chipmakers-ai-151624217.html | https://finance.yahoo.com/markets/stocks/articles/wall-street-analysts-see-analog-133004835.html | https://finance.yahoo.com/markets/stocks/articles/wall-street-analysts-see-analog-133004835.html
AEHR,Aehr Test Systems,0.7,0.8,0.4,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.8,0.2,Assessing Aehr Test Systems (AEHR) Valuation After Powerful Share Price Momentum And Insider Selling | Assessing Aehr Test Systems (AEHR) Valuation After Powerful Share Price Momentum And Insider Selling | What Aehr Test Systems (AEHR)'s AI-Focused Wafer Test Push Means For Shareholders | What Aehr Test Systems (AEHR)'s AI-Focused Wafer Test Push Means For Shareholders | Are Computer and Technology Stocks Lagging  Aehr Test Systems (AEHR) This Year? | Are Computer and Technology Stocks Lagging  Aehr Test Systems (AEHR) This Year? | Aehr To Deliver $41M Record Production Order to Hyperscale AI Customer | Aehr To Deliver $41M Record Production Order to Hyperscale AI Customer | Bull of the Day: Viavi Solutions (VIAV) | Bull of the Day: Viavi Solutions (VIAV),https://finance.yahoo.com/markets/stocks/articles/assessing-aehr-test-systems-aehr-220818060.html | https://finance.yahoo.com/markets/stocks/articles/assessing-aehr-test-systems-aehr-220818060.html | https://finance.yahoo.com/markets/stocks/articles/aehr-test-systems-aehr-ai-080951091.html | https://finance.yahoo.com/markets/stocks/articles/aehr-test-systems-aehr-ai-080951091.html | https://finance.yahoo.com/markets/stocks/articles/computer-technology-stocks-lagging-aehr-134004334.html | https://finance.yahoo.com/markets/stocks/articles/computer-technology-stocks-lagging-aehr-134004334.html | https://finance.yahoo.com/sectors/technology/articles/aehr-deliver-41m-record-production-210156952.html | https://finance.yahoo.com/sectors/technology/articles/aehr-deliver-41m-record-production-210156952.html | https://finance.yahoo.com/markets/stocks/articles/bull-day-viavi-solutions-viav-092000282.html | https://finance.yahoo.com/markets/stocks/articles/bull-day-viavi-solutions-viav-092000282.html
AEIS,"Advanced Energy Industries, Inc",0.8,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.2,"Is Advanced Energy (AEIS) Quietly Recasting Its AI Power Role With New 800 V DC-DC Platform? | Is Advanced Energy (AEIS) Quietly Recasting Its AI Power Role With New 800 V DC-DC Platform? | Commercial Vehicle Group and Advanced Energy Shares Are Soaring, What You Need To Know | Commercial Vehicle Group and Advanced Energy Shares Are Soaring, What You Need To Know | Why Are Advanced Energy (AEIS) Shares Soaring Today | Why Are Advanced Energy (AEIS) Shares Soaring Today | Can KLA Outgrow Chip Equipment Market Through 2030? | Can KLA Outgrow Chip Equipment Market Through 2030? | 2 of Wall Street’s Favorite Stocks to Consider Right Now and 1 We Brush Off | 2 of Wall Street’s Favorite Stocks to Consider Right Now and 1 We Brush Off",https://finance.yahoo.com/sectors/technology/articles/advanced-energy-aeis-quietly-recasting-081505778.html | https://finance.yahoo.com/sectors/technology/articles/advanced-energy-aeis-quietly-recasting-081505778.html | https://finance.yahoo.com/markets/stocks/articles/commercial-vehicle-group-advanced-energy-022120318.html | https://finance.yahoo.com/markets/stocks/articles/commercial-vehicle-group-advanced-energy-022120318.html | https://finance.yahoo.com/markets/stocks/articles/why-advanced-energy-aeis-shares-230537180.html | https://finance.yahoo.com/markets/stocks/articles/why-advanced-energy-aeis-shares-230537180.html | https://finance.yahoo.com/sectors/technology/articles/kla-outgrow-chip-equipment-market-152900059.html | https://finance.yahoo.com/sectors/technology/articles/kla-outgrow-chip-equipment-market-152900059.html | https://finance.yahoo.com/markets/stocks/articles/2-wall-street-favorite-stocks-121414627.html | https://finance.yahoo.com/markets/stocks/articles/2-wall-street-favorite-stocks-121414627.html
AEVA,"Aeva Technologies, Inc.",0.6,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.0,0.0,0.6,0.6,0.2,Aeva CityOS Fargo Rollout Tests LiDAR Traffic Data And Revenue Potential | Aeva CityOS Fargo Rollout Tests LiDAR Traffic Data And Revenue Potential | Aeva Technologies (AEVA) Stock Valuation Check After Strong Recent Momentum | Aeva Technologies (AEVA) Stock Valuation Check After Strong Recent Momentum | Ouster Looks to Future of Smart Transportation with REV8 Color LiDAR | Ouster Looks to Future of Smart Transportation with REV8 Color LiDAR | Aeva Technologies vs. Cognex: Which Computer Vision Stock Is a Better Buy in 2026? | Aeva Technologies vs. Cognex: Which Computer Vision Stock Is a Better Buy in 2026? | Is OUST Stock a Buy Right Now? Here's What the Setup Shows | Is OUST Stock a Buy Right Now? Here's What the Setup Shows,https://finance.yahoo.com/markets/stocks/articles/aeva-cityos-fargo-rollout-tests-141305761.html | https://finance.yahoo.com/markets/stocks/articles/aeva-cityos-fargo-rollout-tests-141305761.html | https://finance.yahoo.com/markets/stocks/articles/aeva-technologies-aeva-stock-valuation-101539387.html | https://finance.yahoo.com/markets/stocks/articles/aeva-technologies-aeva-stock-valuation-101539387.html | https://tech.yahoo.com/transportation/articles/ouster-looks-future-smart-transportation-215440896.html | https://tech.yahoo.com/transportation/articles/ouster-looks-future-smart-transportation-215440896.html | https://finance.yahoo.com/markets/stocks/articles/aeva-technologies-vs-cognex-computer-152418972.html | https://finance.yahoo.com/markets/stocks/articles/aeva-technologies-vs-cognex-computer-152418972.html | https://finance.yahoo.com/markets/stocks/articles/oust-stock-buy-now-heres-131500365.html | https://finance.yahoo.com/markets/stocks/articles/oust-stock-buy-now-heres-131500365.html
AIP,"Arteris, Inc.",0.2,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.3,0.4,"What Does the Arteris CEO's Sale of Company Shares for $2.4 Million Mean for Investors? | What Does the Arteris CEO's Sale of Company Shares for $2.4 Million Mean for Investors? | Assessing Arteris (AIP) Valuation After Strong Recent Momentum And Overvaluation Signals | Assessing Arteris (AIP) Valuation After Strong Recent Momentum And Overvaluation Signals | An Arteris Director Sold Over 20,000 Company Shares. What Does That Mean for Investors? | An Arteris Director Sold Over 20,000 Company Shares. What Does That Mean for Investors? | nLIGHT Stock Has Soared 400%. Here's Why One Investor Bought More | nLIGHT Stock Has Soared 400%. Here's Why One Investor Bought More | Arteris Maps AI, Data Center and Chiplet Growth Path Toward $250M Revenue Goal | Arteris Maps AI, Data Center and Chiplet Growth Path Toward $250M Revenue Goal",https://finance.yahoo.com/markets/stocks/articles/does-arteris-ceos-sale-company-154702400.html | https://finance.yahoo.com/markets/stocks/articles/does-arteris-ceos-sale-company-154702400.html | https://finance.yahoo.com/markets/stocks/articles/assessing-arteris-aip-valuation-strong-130928743.html | https://finance.yahoo.com/markets/stocks/articles/assessing-arteris-aip-valuation-strong-130928743.html | https://finance.yahoo.com/markets/stocks/articles/arteris-director-sold-over-20-175316920.html | https://finance.yahoo.com/markets/stocks/articles/arteris-director-sold-over-20-175316920.html | https://finance.yahoo.com/markets/stocks/articles/nlight-stock-soared-400-heres-002908536.html | https://finance.yahoo.com/markets/stocks/articles/nlight-stock-soared-400-heres-002908536.html | https://finance.yahoo.com/sectors/technology/articles/arteris-maps-ai-data-center-190920462.html | https://finance.yahoo.com/sectors/technology/articles/arteris-maps-ai-data-center-190920462.html
AIRG,"Airgain, Inc.",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.8,0.7,0.2,"How The Airgain (AIRG) Narrative Is Shifting With New Targets Deals And IoT Momentum | How The Airgain (AIRG) Narrative Is Shifting With New Targets Deals And IoT Momentum | Airgain, Inc. Q1 2026 Earnings Call Summary | Airgain, Inc. Q1 2026 Earnings Call Summary | Airgain AIRG Q1 2026 Earnings Call Transcript | Airgain AIRG Q1 2026 Earnings Call Transcript | Airgain Q1 Earnings Call Highlights | Airgain Q1 Earnings Call Highlights | Airgain (AIRG) Reports Q1 Loss, Beats Revenue Estimates | Airgain (AIRG) Reports Q1 Loss, Beats Revenue Estimates",https://finance.yahoo.com/markets/stocks/articles/airgain-airg-narrative-shifting-targets-001558178.html | https://finance.yahoo.com/markets/stocks/articles/airgain-airg-narrative-shifting-targets-001558178.html | https://finance.yahoo.com/markets/stocks/articles/airgain-inc-q1-2026-earnings-123000207.html | https://finance.yahoo.com/markets/stocks/articles/airgain-inc-q1-2026-earnings-123000207.html | https://finance.yahoo.com/markets/stocks/articles/airgain-airg-q1-2026-earnings-231423833.html | https://finance.yahoo.com/markets/stocks/articles/airgain-airg-q1-2026-earnings-231423833.html | https://finance.yahoo.com/markets/stocks/articles/airgain-q1-earnings-call-highlights-225738558.html | https://finance.yahoo.com/markets/stocks/articles/airgain-q1-earnings-call-highlights-225738558.html | https://finance.yahoo.com/markets/stocks/articles/airgain-airg-reports-q1-loss-223017932.html | https://finance.yahoo.com/markets/stocks/articles/airgain-airg-reports-q1-loss-223017932.html
ALAB,"Astera Labs, Inc.",0.6,0.8,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.5,0.0,0.2,June 2026's Leading Growth Stocks With Strong Insider Ownership | Credo Technology Rides the AI Interconnect Upgrade Cycle | Is CRDO Stock Still Worth Buying After Its Massive Run Higher? | Esquire Financial Holdings And 2 Insider Picks For Growth Potential | Does Astera Labs’ (ALAB) Taiwan Bet Quietly Redefine Its AI Infrastructure Moat? | Why Rocket Lab stock tumbled on Nasdaq-100 news | SpaceX’s IPO Is a Done Deal. What History Says Happens Next. | Stocks Rally on Hopes for a Near-term US-Iran Interim Peace Agreement | These Nvidia-Backed Firms Are Set to Join the Nasdaq 100 Soon. Their Stocks Are Surging | Spotlight On June 2026's Insider-Favored Growth Stocks,https://finance.yahoo.com/markets/stocks/articles/june-2026s-leading-growth-stocks-173645951.html | https://finance.yahoo.com/sectors/technology/articles/credo-technology-rides-ai-interconnect-145000244.html | https://finance.yahoo.com/markets/stocks/articles/crdo-stock-still-worth-buying-144700751.html | https://finance.yahoo.com/markets/stocks/articles/esquire-financial-holdings-2-insider-113644004.html | https://finance.yahoo.com/markets/stocks/articles/does-astera-labs-alab-taiwan-231727658.html | https://finance.yahoo.com/markets/stocks/articles/why-rocket-lab-stock-tumbled-213300793.html |  | https://finance.yahoo.com/markets/stocks/articles/stocks-rally-hopes-near-term-203953174.html | https://finance.yahoo.com/markets/stocks/articles/nvidia-backed-firms-set-join-201706788.html | https://finance.yahoo.com/markets/stocks/articles/spotlight-june-2026s-insider-favored-173555354.html
ALGM,"Allegro MicroSystems, Inc.",0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.2,"Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year? | Has Analog Devices (ADI) Outpaced Other Computer and Technology Stocks This Year? | 3 Profitable Stocks We Keep Off Our Radar | 3 Profitable Stocks We Keep Off Our Radar | Allegro MicroSystems (ALGM) Stock Valuation Check After Strong Recent Returns | Allegro MicroSystems (ALGM) Stock Valuation Check After Strong Recent Returns | Allegro MicroSystems, IPG Photonics, and Nova Shares Are Soaring, What You Need To Know | Allegro MicroSystems, IPG Photonics, and Nova Shares Are Soaring, What You Need To Know | Western Digital and Allegro MicroSystems Stocks Trade Up, What You Need To Know | Western Digital and Allegro MicroSystems Stocks Trade Up, What You Need To Know",https://finance.yahoo.com/markets/stocks/articles/analog-devices-adi-outpaced-other-134005314.html | https://finance.yahoo.com/markets/stocks/articles/analog-devices-adi-outpaced-other-134005314.html | https://finance.yahoo.com/markets/stocks/articles/3-profitable-stocks-keep-off-103607210.html | https://finance.yahoo.com/markets/stocks/articles/3-profitable-stocks-keep-off-103607210.html | https://finance.yahoo.com/markets/stocks/articles/allegro-microsystems-algm-stock-valuation-041305337.html | https://finance.yahoo.com/markets/stocks/articles/allegro-microsystems-algm-stock-valuation-041305337.html | https://finance.yahoo.com/markets/stocks/articles/allegro-microsystems-ipg-photonics-nova-001320802.html | https://finance.yahoo.com/markets/stocks/articles/allegro-microsystems-ipg-photonics-nova-001320802.html | https://finance.yahoo.com/markets/stocks/articles/western-digital-allegro-microsystems-stocks-004937776.html | https://finance.yahoo.com/markets/stocks/articles/western-digital-allegro-microsystems-stocks-004937776.html
AMAT,"Applied Materials, Inc.",0.8,0.9,0.0,0.0,0.5,0.6,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,"Applied Materials Stock And The Tell Hiding In Its Margins | Applied Materials Stock And The Tell Hiding In Its Margins | Buy, Hold, or Sell: Applied Materials Surged Right Back Toward $500 Following a Brutal June Flush. Here’s Where I’d Buy | Buy, Hold, or Sell: Applied Materials Surged Right Back Toward $500 Following a Brutal June Flush. Here’s Where I’d Buy | Wall Street Is Missing a Massive $500 Million AI Inflection: Here Is the 1 Unstoppable Tech Giant I’m Loading Up on Over and Over | Wall Street Is Missing a Massive $500 Million AI Inflection: Here Is the 1 Unstoppable Tech Giant I’m Loading Up on Over and Over | Applied Materials Tampines Campus Expansion Tests AI Growth And Rich Valuation | Applied Materials Tampines Campus Expansion Tests AI Growth And Rich Valuation | Jim Cramer Calls KLA Corporation “Too Risky” | Jim Cramer Calls KLA Corporation “Too Risky”",https://finance.yahoo.com/markets/stocks/articles/applied-materials-stock-tell-hiding-154747405.html | https://finance.yahoo.com/markets/stocks/articles/applied-materials-stock-tell-hiding-154747405.html | https://finance.yahoo.com/markets/stocks/articles/buy-hold-sell-applied-materials-142852686.html | https://finance.yahoo.com/markets/stocks/articles/buy-hold-sell-applied-materials-142852686.html | https://finance.yahoo.com/sectors/technology/articles/wall-street-missing-massive-500-122757723.html | https://finance.yahoo.com/sectors/technology/articles/wall-street-missing-massive-500-122757723.html | https://finance.yahoo.com/markets/stocks/articles/applied-materials-tampines-campus-expansion-110919314.html | https://finance.yahoo.com/markets/stocks/articles/applied-materials-tampines-campus-expansion-110919314.html | https://finance.yahoo.com/markets/stocks/articles/jim-cramer-calls-kla-corporation-080509834.html | https://finance.yahoo.com/markets/stocks/articles/jim-cramer-calls-kla-corporation-080509834.html
